Year,WLD_Exp,WLD_Fert,WLD_Pop
1960,52.58193875,4.98,3032019978
1961,53.07512812,5.00,3073077563
1962,53.49244346,5.03,3126066253
1963,54.01753898,5.05,3191186048
1964,54.6875302,5.06,3256700083
1965,55.34693391,5.04,3323623700
1966,56.07848103,4.99,3393699205
1967,56.78377389,4.97,3463147267
1968,57.38627318,4.92,3533536526
1969,57.99199928,4.86,3608235815
1970,58.57975803,4.78,3683676306
1971,59.11045886,4.67,3761307048
1972,59.59650708,4.54,3837726171
1973,60.04732476,4.41,3913217944
1974,60.54066306,4.29,3989385034
1975,60.98545571,4.16,4063806523
1976,61.40880302,4.04,4136393107
1977,61.83266426,3.94,4208770941
1978,62.19342263,3.84,4282341460
1979,62.55547206,3.77,4357793599
1980,62.84174466,3.71,4434021975
1981,63.1825087,3.66,4512268962
1982,63.50892059,3.63,4593454253
1983,63.7570354,3.59,4675367633
1984,64.02157095,3.56,4756998073
1985,64.2791077,3.54,4840155168
1986,64.57949518,3.50,4925801334
1987,64.83055625,3.46,5013576387
1988,65.03449926,3.40,5102293348
1989,65.24696878,3.32,5190965222
1990,65.43292073,3.25,5281340078
1991,65.61804589,3.16,5369210095
1992,65.769659,3.07,5453393960
1993,65.88402592,2.99,5538448726
1994,66.08743355,2.92,5622575421
1995,66.27387614,2.86,5707533023
1996,66.55801327,2.82,5790454220
1997,66.84296937,2.78,5873071768
1998,67.08624391,2.75,5954810550
1999,67.29362178,2.72,6035284135
2000,67.54902793,2.70,6115108363
2001,67.82173353,2.67,6194460444
2002,68.07037328,2.64,6273526441
2003,68.32623451,2.62,6352677699
2004,68.65264378,2.61,6432374971
2005,68.92032186,2.59,6512602867
2006,69.26239879,2.58,6593623202
2007,69.59170555,2.57,6675130418
2008,69.89949278,2.55,6757887172
2009,70.2465195,2.53,6840591577
2010,70.5565916,2.52,6922947261
2011,70.883485,2.50,7004011262
2012,71.17154765,2.49,7086993625
2013,71.46266033,2.47,7170961674
2014,71.74197845,2.47,7255653881
2015,71.94747668,2.46,7340548192
2016,72.18117115,2.45,7426103221
2017,72.38592012,2.43,7510990456
2018,72.56865794,2.42,7594270356
